time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_loadgenerator,custom_cpu_redis-cart,custom_cpu_currencyservice,custom_cpu_frontend,custom_cpu_checkoutservice,custom_cpu_paymentservice,custom_cpu_recommendationservice,custom_cpu_productcatalogservice,custom_cpu_shippingservice,custom_cpu_emailservice,custom_cpu_cartservice,custom_cpu_adservice,custom_cpu_coredns,custom_cpu_metrics-server,custom_cpu_local-path-provisioner,custom_cpu_prometheus-grafana,custom_cpu_prometheus-kube-prometheus-operator,custom_cpu_prometheus-kube-state-metrics,custom_monitored_count_coredns,custom_monitored_count_metrics-server,custom_monitored_count_local-path-provisioner,custom_monitored_count_emailservice,custom_monitored_count_paymentservice,custom_monitored_count_loadgenerator,custom_monitored_count_redis-cart,custom_monitored_count_shippingservice,custom_monitored_count_checkoutservice,custom_monitored_count_cartservice,custom_monitored_count_prometheus-grafana,custom_monitored_count_adservice,custom_monitored_count_prometheus-kube-prometheus-operator,custom_monitored_count_prometheus-kube-state-metrics,custom_monitored_count_recommendationservice,custom_monitored_count_currencyservice,custom_monitored_count_frontend,custom_monitored_count_productcatalogservice,custom_kubernetes_coredns_ordered,custom_kubernetes_coredns_ready,custom_kubernetes_metrics-server_ordered,custom_kubernetes_metrics-server_ready,custom_kubernetes_local-path-provisioner_ordered,custom_kubernetes_local-path-provisioner_ready,custom_kubernetes_emailservice_ordered,custom_kubernetes_emailservice_ready,custom_kubernetes_paymentservice_ordered,custom_kubernetes_paymentservice_ready,custom_kubernetes_loadgenerator_ordered,custom_kubernetes_loadgenerator_ready,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,custom_kubernetes_shippingservice_ordered,custom_kubernetes_shippingservice_ready,custom_kubernetes_checkoutservice_ordered,custom_kubernetes_checkoutservice_ready,custom_kubernetes_cartservice_ordered,custom_kubernetes_cartservice_ready,custom_kubernetes_prometheus-grafana_ordered,custom_kubernetes_prometheus-grafana_ready,custom_kubernetes_adservice_ordered,custom_kubernetes_adservice_ready,custom_kubernetes_prometheus-kube-prometheus-operator_ordered,custom_kubernetes_prometheus-kube-prometheus-operator_ready,custom_kubernetes_prometheus-kube-state-metrics_ordered,custom_kubernetes_prometheus-kube-state-metrics_ready,custom_kubernetes_recommendationservice_ordered,custom_kubernetes_recommendationservice_ready,custom_kubernetes_currencyservice_ordered,custom_kubernetes_currencyservice_ready,custom_kubernetes_frontend_ordered,custom_kubernetes_frontend_ready,custom_kubernetes_productcatalogservice_ordered,custom_kubernetes_productcatalogservice_ready,elapsed,elapsed_min
1702797653.0139625,550.0,2100.0,706,2400,27,3.625,0.17575757575757575,17.0,50,707.2932785457162,17.0,2361.0,550.0,27.0,29,165,"[548.105836873529, 1702797651.816]","[21.029473485753098, 1702797651.816]","[543.984702781239, 1702797651.816]","[915.6675592330265, 1702797651.816]","[16.88640438098051, 1702797651.816]","[9.425654634893304, 1702797651.816]","[563.0820379328263, 1702797651.816]","[488.6293922656163, 1702797651.816]","[29.591999003034967, 1702797651.816]","[37.033830795414524, 1702797651.816]","[119.01626527728921, 1702797651.816]","[35.031296219173335, 1702797651.816]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,9,9,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,2,4,1,4,1,0.0,0.0
1702797654.5689774,220.0,2200.0,497,2400,27,2.9,0.1518324607329843,15.5,50,632.3153563614823,15.5,2361.0,380.0,27.0,29,191,"[548.105836873529, 1702797653.846]","[14.085227420275872, 1702797653.846]","[477.9635588635181, 1702797653.846]","[915.6675592330265, 1702797653.846]","[16.88640438098051, 1702797653.846]","[9.425654634893304, 1702797653.846]","[431.7768190743657, 1702797653.846]","[488.6293922656163, 1702797653.846]","[29.591999003034967, 1702797653.846]","[23.56504363468148, 1702797653.846]","[119.01626527728921, 1702797653.846]","[35.031296219173335, 1702797653.846]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,9,9,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,8,2,4,1,4,1,1.5550148487091064,0.025916914145151775
1702797656.1187425,220.0,2200.0,497,2400,27,2.9,0.1518324607329843,15.5,50,632.3153563614823,15.5,2361.0,380.0,27.0,29,191,"[548.105836873529, 1702797655.763]","[14.085227420275872, 1702797655.763]","[477.9635588635181, 1702797655.763]","[915.6675592330265, 1702797655.763]","[16.88640438098051, 1702797655.763]","[9.425654634893304, 1702797655.763]","[431.7768190743657, 1702797655.763]","[488.6293922656163, 1702797655.763]","[29.591999003034967, 1702797655.763]","[23.56504363468148, 1702797655.763]","[119.01626527728921, 1702797655.763]","[35.031296219173335, 1702797655.763]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,12,12,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,8,3,4,1,4,1,3.1047799587249756,0.05174633264541626
1702797658.3546531,120.0,290.0,138,370,27,0.0,0.12184873949579832,10.2,50,536.3905509917198,10.2,2361.0,280.0,27.0,29,238,"[548.105836873529, 1702797657.805]","[14.085227420275872, 1702797657.805]","[477.9635588635181, 1702797657.805]","[915.6675592330265, 1702797657.805]","[16.88640438098051, 1702797657.805]","[9.425654634893304, 1702797657.805]","[431.7768190743657, 1702797657.805]","[476.980698035535, 1702797657.805]","[29.591999003034967, 1702797657.805]","[23.56504363468148, 1702797657.805]","[119.01626527728921, 1702797657.805]","[35.031296219173335, 1702797657.805]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,12,12,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,8,3,8,1,4,2,5.340690612792969,0.08901151021321614
1702797660.508918,120.0,290.0,138,370,27,0.0,0.12184873949579832,10.2,50,536.3905509917198,10.2,2361.0,280.0,27.0,29,238,"[548.105836873529, 1702797659.879]","[14.085227420275872, 1702797659.879]","[225.05554327154059, 1702797659.879]","[91.4799771217531, 1702797659.879]","[16.88640438098051, 1702797659.879]","[9.425654634893304, 1702797659.879]","[302.94803304809125, 1702797659.879]","[131.32461429603495, 1702797659.879]","[29.591999003034967, 1702797659.879]","[23.56504363468148, 1702797659.879]","[119.01626527728921, 1702797659.879]","[35.031296219173335, 1702797659.879]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,12,12,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,8,3,8,1,4,2,7.494955539703369,0.12491592566172281
1702797662.721957,110.0,290.0,126,370,26,0.0,0.10583941605839416,11.7,50,476.56514790882295,11.7,2361.0,220.0,26.0,29,274,"[136.23053415181013, 1702797661.841]","[14.085227420275872, 1702797661.841]","[291.4974894251745, 1702797661.841]","[91.4799771217531, 1702797661.841]","[24.671300793495533, 1702797661.841]","[13.119824065629384, 1702797661.841]","[456.3414885236254, 1702797661.841]","[61.982546738133586, 1702797661.841]","[27.229346886250493, 1702797661.841]","[23.56504363468148, 1702797661.841]","[77.91892172596556, 1702797661.841]","[24.0793483747868, 1702797661.841]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,12,12,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,8,3,8,1,4,2,9.70799446105957,0.16179990768432617
1702797664.251921,110.0,290.0,126,370,26,0.0,0.10583941605839416,11.7,50,476.56514790882295,11.7,2361.0,220.0,26.0,29,274,"[136.23053415181013, 1702797663.775]","[14.085227420275872, 1702797663.775]","[291.4974894251745, 1702797663.775]","[91.4799771217531, 1702797663.775]","[24.671300793495533, 1702797663.775]","[13.119824065629384, 1702797663.775]","[456.3414885236254, 1702797663.775]","[61.982546738133586, 1702797663.775]","[27.229346886250493, 1702797663.775]","[23.56504363468148, 1702797663.775]","[77.91892172596556, 1702797663.775]","[24.0793483747868, 1702797663.775]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,12,12,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,8,3,8,2,4,2,11.237958431243896,0.18729930718739826
1702797666.2422924,65.0,280.0,90,350,20,0.0,0.0926517571884984,11.1,50,424.3984770992348,11.1,2361.0,180.0,20.0,29,313,"[136.23053415181013, 1702797665.747]","[12.333348162430001, 1702797665.747]","[287.25151942823214, 1702797665.747]","[91.4799771217531, 1702797665.747]","[24.671300793495533, 1702797665.747]","[13.119824065629384, 1702797665.747]","[456.3414885236254, 1702797665.747]","[61.982546738133586, 1702797665.747]","[27.229346886250493, 1702797665.747]","[31.17256069627195, 1702797665.747]","[77.91892172596556, 1702797665.747]","[24.0793483747868, 1702797665.747]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,8,3,8,2,6,2,13.22832989692688,0.22047216494878133
1702797669.0606687,65.0,280.0,90,350,20,0.0,0.0926517571884984,11.1,50,424.3984770992348,11.1,2361.0,180.0,20.0,29,313,"[136.23053415181013, 1702797667.877]","[12.333348162430001, 1702797667.877]","[287.25151942823214, 1702797667.877]","[91.4799771217531, 1702797667.877]","[24.671300793495533, 1702797667.877]","[13.119824065629384, 1702797667.877]","[456.3414885236254, 1702797667.877]","[61.982546738133586, 1702797667.877]","[27.229346886250493, 1702797667.877]","[31.17256069627195, 1702797667.877]","[77.91892172596556, 1702797667.877]","[24.0793483747868, 1702797667.877]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,8,3,8,2,6,2,16.046706199645996,0.26744510332743326
1702797672.2184644,43.0,160.0,63,260,20,0.0,0.08100558659217877,10.0,50,378.87507281298673,10.0,2361.0,140.0,20.0,29,358,"[136.23053415181013, 1702797669.902]","[12.333348162430001, 1702797669.902]","[287.25151942823214, 1702797669.902]","[91.4799771217531, 1702797669.902]","[24.671300793495533, 1702797669.902]","[13.119824065629384, 1702797669.902]","[456.3414885236254, 1702797669.902]","[61.982546738133586, 1702797669.902]","[27.229346886250493, 1702797669.902]","[31.17256069627195, 1702797669.902]","[77.91892172596556, 1702797669.902]","[24.0793483747868, 1702797669.902]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,3,8,2,6,2,19.20450186729431,0.3200750311215719
