time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_loadgenerator,custom_cpu_redis-cart,custom_cpu_checkoutservice,custom_cpu_recommendationservice,custom_cpu_paymentservice,custom_cpu_currencyservice,custom_cpu_emailservice,custom_cpu_productcatalogservice,custom_cpu_frontend,custom_cpu_cartservice,custom_cpu_shippingservice,custom_cpu_adservice,custom_cpu_coredns,custom_cpu_metrics-server,custom_cpu_local-path-provisioner,custom_cpu_prometheus-kube-prometheus-operator,custom_cpu_prometheus-kube-state-metrics,custom_cpu_prometheus-grafana,custom_monitored_count_coredns,custom_monitored_count_metrics-server,custom_monitored_count_local-path-provisioner,custom_monitored_count_loadgenerator,custom_monitored_count_prometheus-kube-prometheus-operator,custom_monitored_count_prometheus-kube-state-metrics,custom_monitored_count_prometheus-grafana,custom_monitored_count_redis-cart,custom_monitored_count_checkoutservice,custom_monitored_count_shippingservice,custom_monitored_count_cartservice,custom_monitored_count_adservice,custom_monitored_count_paymentservice,custom_monitored_count_emailservice,custom_monitored_count_recommendationservice,custom_monitored_count_frontend,custom_monitored_count_productcatalogservice,custom_monitored_count_currencyservice,custom_kubernetes_coredns_ordered,custom_kubernetes_coredns_ready,custom_kubernetes_metrics-server_ordered,custom_kubernetes_metrics-server_ready,custom_kubernetes_local-path-provisioner_ordered,custom_kubernetes_local-path-provisioner_ready,custom_kubernetes_loadgenerator_ordered,custom_kubernetes_loadgenerator_ready,custom_kubernetes_prometheus-kube-prometheus-operator_ordered,custom_kubernetes_prometheus-kube-prometheus-operator_ready,custom_kubernetes_prometheus-kube-state-metrics_ordered,custom_kubernetes_prometheus-kube-state-metrics_ready,custom_kubernetes_prometheus-grafana_ordered,custom_kubernetes_prometheus-grafana_ready,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,custom_kubernetes_checkoutservice_ordered,custom_kubernetes_checkoutservice_ready,custom_kubernetes_shippingservice_ordered,custom_kubernetes_shippingservice_ready,custom_kubernetes_cartservice_ordered,custom_kubernetes_cartservice_ready,custom_kubernetes_adservice_ordered,custom_kubernetes_adservice_ready,custom_kubernetes_paymentservice_ordered,custom_kubernetes_paymentservice_ready,custom_kubernetes_emailservice_ordered,custom_kubernetes_emailservice_ready,custom_kubernetes_recommendationservice_ordered,custom_kubernetes_recommendationservice_ready,custom_kubernetes_frontend_ordered,custom_kubernetes_frontend_ready,custom_kubernetes_productcatalogservice_ordered,custom_kubernetes_productcatalogservice_ready,custom_kubernetes_currencyservice_ordered,custom_kubernetes_currencyservice_ready,elapsed,elapsed_min
1702811636.0550318,1400.0,3900.0,1814,4000,59,0.0,0.0,15.428571428571429,50,1816.8743240539227,15.428571428571429,4002.0,1400.0,59.0,0,135,"[121.41362279695744, 1702811632.934]","[9.862990579531193, 1702811632.934]","[16.083429050586247, 1702811632.934]","[57.45897305392396, 1702811632.934]","[11.616049974753992, 1702811632.934]","[171.2342405911807, 1702811632.934]","[28.062649937604828, 1702811632.934]","[141.30796455288942, 1702811632.934]","[129.86437050909046, 1702811632.934]","[113.88352113127101, 1702811632.934]","[22.491019324168985, 1702811632.934]","[78.49826405163594, 1702811632.934]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,5,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0.0,0.0
1702811637.6522775,230.0,500.0,252,660,59,0.2,0.007692307692307693,11.3,50,1065.440793608902,11.3,4002.0,370.0,59.0,2,260,"[116.81259077394269, 1702811636.531]","[10.133723598136163, 1702811636.531]","[15.90044363488071, 1702811636.531]","[54.399175283729434, 1702811636.531]","[13.22364152242345, 1702811636.531]","[142.49866282055535, 1702811636.531]","[31.296629545603636, 1702811636.531]","[98.59345945041939, 1702811636.531]","[86.01373855010407, 1702811636.531]","[276.9949682345714, 1702811636.531]","[29.421994381211164, 1702811636.531]","[108.2297478883089, 1702811636.531]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,4,1,1.597245693206787,0.02662076155344645
1702811638.9199574,230.0,500.0,252,660,59,0.2,0.007692307692307693,11.3,50,1065.440793608902,11.3,4002.0,370.0,59.0,2,260,"[116.81259077394269, 1702811638.248]","[10.133723598136163, 1702811638.248]","[15.90044363488071, 1702811638.248]","[54.399175283729434, 1702811638.248]","[13.22364152242345, 1702811638.248]","[142.49866282055535, 1702811638.248]","[31.296629545603636, 1702811638.248]","[35.80196073294421, 1702811638.248]","[86.01373855010407, 1702811638.248]","[276.9949682345714, 1702811638.248]","[29.421994381211164, 1702811638.248]","[108.2297478883089, 1702811638.248]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,1,2.8649256229400635,0.047748760382334395
1702811640.6526089,150.0,340.0,170,420,42,0.2,0.006535947712418301,11.3,50,930.0097668475169,11.3,4002.0,270.0,42.0,2,306,"[116.81259077394269, 1702811640.143]","[10.133723598136163, 1702811640.143]","[15.90044363488071, 1702811640.143]","[54.399175283729434, 1702811640.143]","[13.22364152242345, 1702811640.143]","[142.28318430906936, 1702811640.143]","[31.296629545603636, 1702811640.143]","[27.03947321281459, 1702811640.143]","[80.65897199574394, 1702811640.143]","[276.9949682345714, 1702811640.143]","[29.421994381211164, 1702811640.143]","[108.2297478883089, 1702811640.143]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,1,4.597577095031738,0.07662628491719564
1702811642.9051137,150.0,340.0,170,420,42,0.2,0.006535947712418301,11.3,50,930.0097668475169,11.3,4002.0,270.0,42.0,2,306,"[116.81259077394269, 1702811642.227]","[10.133723598136163, 1702811642.227]","[15.90044363488071, 1702811642.227]","[54.399175283729434, 1702811642.227]","[13.22364152242345, 1702811642.227]","[142.28318430906936, 1702811642.227]","[31.296629545603636, 1702811642.227]","[27.03947321281459, 1702811642.227]","[80.65897199574394, 1702811642.227]","[276.9949682345714, 1702811642.227]","[29.421994381211164, 1702811642.227]","[108.2297478883089, 1702811642.227]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,1,6.850081920623779,0.11416803201039633
1702811645.1663427,210.0,510.0,244,750,42,0.0,0.0058309037900874635,9.5,50,870.0400110182784,9.5,4002.0,310.0,42.0,2,343,"[116.81259077394269, 1702811644.242]","[11.084874712359166, 1702811644.242]","[15.90044363488071, 1702811644.242]","[58.4085887935423, 1702811644.242]","[62.922977560235445, 1702811644.242]","[292.9074758613838, 1702811644.242]","[114.85692163266278, 1702811644.242]","[100.13542940506335, 1702811644.242]","[80.65897199574394, 1702811644.242]","[276.9949682345714, 1702811644.242]","[29.421994381211164, 1702811644.242]","[358.6008683478235, 1702811644.242]",,,,,,,,,,1,,,,1,1,1,11,26,3,4,2,3,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,1,9.111310958862305,0.1518551826477051
1702811646.5263455,210.0,510.0,244,750,42,0.0,0.0058309037900874635,9.5,50,870.0400110182784,9.5,4002.0,310.0,42.0,2,343,"[116.81259077394269, 1702811646.136]","[11.084874712359166, 1702811646.136]","[15.90044363488071, 1702811646.136]","[58.4085887935423, 1702811646.136]","[62.922977560235445, 1702811646.136]","[292.9074758613838, 1702811646.136]","[114.85692163266278, 1702811646.136]","[100.13542940506335, 1702811646.136]","[80.65897199574394, 1702811646.136]","[276.9949682345714, 1702811646.136]","[29.421994381211164, 1702811646.136]","[358.6008683478235, 1702811646.136]",,,,,,,,,,1,,,,1,1,1,11,26,3,4,2,3,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,1,10.471313714981079,0.17452189524968464
1702811651.1602588,310.0,700.0,331,850,64,0.0,0.005291005291005291,10.5,50,821.5238945136739,10.5,4002.0,310.0,42.0,2,378,"[144.7334893532763, 1702811648.467]","[11.875527668020753, 1702811648.467]","[16.101221825801293, 1702811648.467]","[93.20708134777453, 1702811648.467]","[59.14802869991984, 1702811648.467]","[276.86493035466435, 1702811648.467]","[113.11806323793996, 1702811648.467]","[100.13542940506335, 1702811648.467]","[222.0751017834362, 1702811648.467]","[369.0547273336848, 1702811648.467]","[32.10138708461549, 1702811648.467]","[515.0064021887141, 1702811648.467]",,,,,,,,,,1,,,,1,1,1,11,26,3,4,2,3,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,2,15.105226993560791,0.25175378322601316
1702811655.6725419,400.0,700.0,402,1000,64,0.0,0.00477326968973747,9.7,50,786.8350572891862,9.7,4002.0,340.0,42.0,2,419,"[144.7334893532763, 1702811651.351]","[11.875527668020753, 1702811651.351]","[16.101221825801293, 1702811651.351]","[93.20708134777453, 1702811651.351]","[59.14802869991984, 1702811651.351]","[276.86493035466435, 1702811651.351]","[113.11806323793996, 1702811651.351]","[100.13542940506335, 1702811651.351]","[222.0751017834362, 1702811651.351]","[369.0547273336848, 1702811651.351]","[32.10138708461549, 1702811651.351]","[515.0064021887141, 1702811651.351]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,2,19.617510080337524,0.32695850133895876
1702811656.474605,400.0,930.0,429,1000,64,0.0,0.004329004329004329,10.1,50,757.8811080935078,10.1,4002.0,350.0,42.0,2,462,"[144.7334893532763, 1702811655.779]","[12.784089018992354, 1702811655.779]","[16.101221825801293, 1702811655.779]","[93.20708134777453, 1702811655.779]","[59.14802869991984, 1702811655.779]","[271.13859394268565, 1702811655.779]","[113.11806323793996, 1702811655.779]","[145.61685103898753, 1702811655.779]","[222.0751017834362, 1702811655.779]","[369.0547273336848, 1702811655.779]","[32.10138708461549, 1702811655.779]","[515.0064021887141, 1702811655.779]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,2,20.419573307037354,0.3403262217839559
