time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_loadgenerator,custom_cpu_redis-cart,custom_cpu_frontend,custom_cpu_checkoutservice,custom_cpu_paymentservice,custom_cpu_currencyservice,custom_cpu_productcatalogservice,custom_cpu_recommendationservice,custom_cpu_shippingservice,custom_cpu_emailservice,custom_cpu_cartservice,custom_cpu_adservice,custom_cpu_coredns,custom_cpu_metrics-server,custom_cpu_local-path-provisioner,custom_cpu_prometheus-grafana,custom_cpu_prometheus-kube-prometheus-operator,custom_cpu_prometheus-kube-state-metrics,custom_monitored_count_coredns,custom_monitored_count_metrics-server,custom_monitored_count_local-path-provisioner,custom_monitored_count_emailservice,custom_monitored_count_paymentservice,custom_monitored_count_loadgenerator,custom_monitored_count_redis-cart,custom_monitored_count_shippingservice,custom_monitored_count_checkoutservice,custom_monitored_count_prometheus-grafana,custom_monitored_count_adservice,custom_monitored_count_prometheus-kube-prometheus-operator,custom_monitored_count_prometheus-kube-state-metrics,custom_monitored_count_cartservice,custom_monitored_count_recommendationservice,custom_monitored_count_frontend,custom_monitored_count_currencyservice,custom_monitored_count_productcatalogservice,custom_kubernetes_coredns_ordered,custom_kubernetes_coredns_ready,custom_kubernetes_metrics-server_ordered,custom_kubernetes_metrics-server_ready,custom_kubernetes_local-path-provisioner_ordered,custom_kubernetes_local-path-provisioner_ready,custom_kubernetes_emailservice_ordered,custom_kubernetes_emailservice_ready,custom_kubernetes_paymentservice_ordered,custom_kubernetes_paymentservice_ready,custom_kubernetes_loadgenerator_ordered,custom_kubernetes_loadgenerator_ready,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,custom_kubernetes_shippingservice_ordered,custom_kubernetes_shippingservice_ready,custom_kubernetes_checkoutservice_ordered,custom_kubernetes_checkoutservice_ready,custom_kubernetes_prometheus-grafana_ordered,custom_kubernetes_prometheus-grafana_ready,custom_kubernetes_adservice_ordered,custom_kubernetes_adservice_ready,custom_kubernetes_prometheus-kube-prometheus-operator_ordered,custom_kubernetes_prometheus-kube-prometheus-operator_ready,custom_kubernetes_prometheus-kube-state-metrics_ordered,custom_kubernetes_prometheus-kube-state-metrics_ready,custom_kubernetes_cartservice_ordered,custom_kubernetes_cartservice_ready,custom_kubernetes_recommendationservice_ordered,custom_kubernetes_recommendationservice_ready,custom_kubernetes_frontend_ordered,custom_kubernetes_frontend_ready,custom_kubernetes_productcatalogservice_ordered,custom_kubernetes_productcatalogservice_ready,custom_kubernetes_currencyservice_ordered,custom_kubernetes_currencyservice_ready,elapsed,elapsed_min
1702803200.5024846,810.0,2500.0,1016,2600,19,0.0,0.0,16.375,50,1015.152978912269,16.375,2608.0,810.0,19.0,0,159,"[0.5261724352636933, 1702803199.645]","[5.384119945187279, 1702803199.645]","[1.7767704243745754, 1702803199.645]","[15.747196410802921, 1702803199.645]","[14.865781656073635, 1702803199.645]","[9.772734208689817, 1702803199.645]","[12.276283155721577, 1702803199.645]","[25.0743215921296, 1702803199.645]","[17.128660798437146, 1702803199.645]","[25.317121117080905, 1702803199.645]","[16.38315146933001, 1702803199.645]","[9.929507606948205, 1702803199.645]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0
1702803202.2459197,410.0,2500.0,688,2600,18,0.0,0.0,14.8,50,888.7455491860406,14.8,2608.0,720.0,18.0,0,183,"[78.01819526121479, 1702803201.659]","[14.97193879077596, 1702803201.659]","[126.16561190198233, 1702803201.659]","[15.747196410802921, 1702803201.659]","[14.069035885068473, 1702803201.659]","[127.9545226684068, 1702803201.659]","[22.19520854378884, 1702803201.659]","[25.0743215921296, 1702803201.659]","[24.175733126852283, 1702803201.659]","[25.317121117080905, 1702803201.659]","[40.12380291061696, 1702803201.659]","[28.628409748134214, 1702803201.659]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.7434351444244385,0.029057252407073974
1702803204.2299838,410.0,2500.0,688,2600,18,0.0,0.0,14.8,50,888.7455491860406,14.8,2608.0,720.0,18.0,0,183,"[78.01819526121479, 1702803203.861]","[14.97193879077596, 1702803203.861]","[126.16561190198233, 1702803203.861]","[15.747196410802921, 1702803203.861]","[14.069035885068473, 1702803203.861]","[127.9545226684068, 1702803203.861]","[22.19520854378884, 1702803203.861]","[25.0743215921296, 1702803203.861]","[24.175733126852283, 1702803203.861]","[25.317121117080905, 1702803203.861]","[40.12380291061696, 1702803203.861]","[28.628409748134214, 1702803203.861]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.72749924659729,0.06212498744328817
1702803205.9154544,56.0,180.0,76,350,18,0.0,0.0,11.2,50,723.6940842066313,11.2,2608.0,240.0,18.0,0,228,"[78.01819526121479, 1702803205.629]","[14.97193879077596, 1702803205.629]","[126.16561190198233, 1702803205.629]","[15.747196410802921, 1702803205.629]","[14.069035885068473, 1702803205.629]","[127.9545226684068, 1702803205.629]","[22.19520854378884, 1702803205.629]","[25.0743215921296, 1702803205.629]","[24.175733126852283, 1702803205.629]","[25.317121117080905, 1702803205.629]","[40.12380291061696, 1702803205.629]","[28.628409748134214, 1702803205.629]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.4129698276519775,0.09021616379419962
1702803207.9170072,56.0,180.0,76,350,18,0.0,0.0,11.2,50,723.6940842066313,11.2,2608.0,240.0,18.0,0,228,"[78.01819526121479, 1702803207.629]","[14.97193879077596, 1702803207.629]","[126.16561190198233, 1702803207.629]","[15.747196410802921, 1702803207.629]","[14.069035885068473, 1702803207.629]","[127.9545226684068, 1702803207.629]","[22.19520854378884, 1702803207.629]","[25.0743215921296, 1702803207.629]","[24.175733126852283, 1702803207.629]","[25.317121117080905, 1702803207.629]","[40.12380291061696, 1702803207.629]","[28.628409748134214, 1702803207.629]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.414522647857666,0.12357537746429444
1702803209.9819002,50.0,180.0,67,230,18,0.0,0.0,11.8,50,603.2868631782645,11.8,2608.0,130.0,18.0,0,281,"[78.01819526121479, 1702803209.654]","[14.97193879077596, 1702803209.654]","[126.16561190198233, 1702803209.654]","[15.747196410802921, 1702803209.654]","[14.069035885068473, 1702803209.654]","[127.9545226684068, 1702803209.654]","[22.19520854378884, 1702803209.654]","[25.0743215921296, 1702803209.654]","[24.175733126852283, 1702803209.654]","[25.317121117080905, 1702803209.654]","[40.12380291061696, 1702803209.654]","[28.628409748134214, 1702803209.654]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.479415655136108,0.15799026091893514
1702803212.3794947,50.0,180.0,67,230,18,0.0,0.0,11.8,50,603.2868631782645,11.8,2608.0,130.0,18.0,0,281,"[141.63318233292242, 1702803211.708]","[22.286149585497512, 1702803211.708]","[126.16561190198233, 1702803211.708]","[18.86233812911342, 1702803211.708]","[12.045584221809696, 1702803211.708]","[127.9545226684068, 1702803211.708]","[63.53721646185095, 1702803211.708]","[78.08885840984364, 1702803211.708]","[31.793520509039627, 1702803211.708]","[29.96000007613652, 1702803211.708]","[76.55606643373991, 1702803211.708]","[28.628409748134214, 1702803211.708]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11.877010107040405,0.19795016845067342
1702803214.3688602,48.0,180.0,69,230,20,0.0,0.0,12.2,50,537.0679278002626,12.2,2608.0,110.0,18.0,0,320,"[141.63318233292242, 1702803213.783]","[22.286149585497512, 1702803213.783]","[126.16561190198233, 1702803213.783]","[18.86233812911342, 1702803213.783]","[12.045584221809696, 1702803213.783]","[127.9545226684068, 1702803213.783]","[63.53721646185095, 1702803213.783]","[78.08885840984364, 1702803213.783]","[31.793520509039627, 1702803213.783]","[29.96000007613652, 1702803213.783]","[76.55606643373991, 1702803213.783]","[28.628409748134214, 1702803213.783]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,1,13.86637568473816,0.23110626141230264
1702803216.1619837,48.0,180.0,69,230,20,0.0,0.0,12.2,50,537.0679278002626,12.2,2608.0,110.0,18.0,0,320,"[141.63318233292242, 1702803215.661]","[22.286149585497512, 1702803215.661]","[126.16561190198233, 1702803215.661]","[18.86233812911342, 1702803215.661]","[12.045584221809696, 1702803215.661]","[127.9545226684068, 1702803215.661]","[63.53721646185095, 1702803215.661]","[78.08885840984364, 1702803215.661]","[31.793520509039627, 1702803215.661]","[29.96000007613652, 1702803215.661]","[76.55606643373991, 1702803215.661]","[28.628409748134214, 1702803215.661]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,1,15.659499168395996,0.2609916528065999
1702803220.550547,89.0,220.0,96,290,21,0.0,0.0,11.3,50,487.03697946849604,11.3,2608.0,99.0,18.0,0,363,"[141.63318233292242, 1702803217.639]","[22.286149585497512, 1702803217.639]","[126.16561190198233, 1702803217.639]","[18.86233812911342, 1702803217.639]","[12.045584221809696, 1702803217.639]","[127.9545226684068, 1702803217.639]","[63.53721646185095, 1702803217.639]","[78.08885840984364, 1702803217.639]","[31.793520509039627, 1702803217.639]","[29.96000007613652, 1702803217.639]","[76.55606643373991, 1702803217.639]","[28.628409748134214, 1702803217.639]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,1,20.048062324523926,0.33413437207539876
